date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:31:06	517404/517404	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2010:06:53%20GMT	https://www.classcentral.com/report/coursera-free-online-courses/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/coursera-free-online-courses/index.html	(from https://www.classcentral.com/)
17:31:06	93874/93874	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202023%2015:26:15%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-free-certificates.png?auto=format&h=420&ixlib=php-3.3.1&s=bc50a602c38dbf30802649312c6a4474	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-free-certificatesbc95.png	(from https://www.classcentral.com/)
17:31:06	6773/6773	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Mar%202023%2009:41:27%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&blur=200&h=420&ixlib=php-3.3.1&px=16&s=0d0859ee6dce9cd586fcc06d2e5d34ec	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsa0be.png	(from https://www.classcentral.com/)
17:31:07	419132/419132	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2010:04:52%20GMT	https://www.classcentral.com/report/free-certificates/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/free-certificates/index.html	(from https://www.classcentral.com/)
17:31:07	29596/29596	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Mar%202023%2015:26:16%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fcollections%2Fcollection-google-certs.png?auto=format&h=420&ixlib=php-3.3.1&s=ac4c48d612e7961d7335e87451e52ac4	C:/Users/ABD/Desktop/Last_project/ccweb.imgix.net/https_/www.classcentral.com/images/collections/collection-google-certsc6f1.png	(from https://www.classcentral.com/)
17:31:07	194385/194385	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2010:05:05%20GMT	https://www.classcentral.com/report/free-google-certifications/	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/report/free-google-certifications/index.html	(from https://www.classcentral.com/)
17:31:08	378/378	---MC-	302	error ('Found')	text/html	date:Sun,%2019%20Mar%202023%2014:31:09%20GMT	https://www.classcentral.com/new-online-courses	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/new-online-courses	(from https://www.classcentral.com/)
17:31:08	845072/845072	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:31:09%20GMT	https://www.classcentral.com/starting-this-month	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/starting-this-month.html	(from https://www.classcentral.com/)
17:31:09	486/486	---MC-	302	error ('Found')	text/html	date:Sun,%2019%20Mar%202023%2014:31:10%20GMT	https://www.classcentral.com/most-popular-courses	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/most-popular-courses	(from https://www.classcentral.com/)
17:31:09	775754/775754	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Mar%202023%2014:31:09%20GMT	https://www.classcentral.com/new-online-courses/february-2023	C:/Users/ABD/Desktop/Last_project/www.classcentral.com/new-online-courses/february-2023.html	(from https://www.classcentral.com/)
